assists_away_team,assists_home_team,attendance,away_goals,away_goals_details,away_manager,away_team,blocks_away_team,blocks_home_team,clearances_away_team,clearances_home_team,corners_away_team,corners_home_team,crosses_away_team,crosses_home_team,date,fouls_away_team,fouls_home_team,free_kicks_away_team,free_kicks_home_team,handballs_away_team,handballs_home_team,home_goals,home_goals_details,home_manager,home_team,offsides_away_team,offsides_home_team,penalties_away_team,penalties_home_team,red_cards_away_team,red_cards_home_team,referee,result,saves_away_team,saves_home_team,season,shots_off_target_away_team,shots_off_target_home_team,shots_on_target_away_team,shots_on_target_home_team,throw_ins_away_team,throw_ins_home_team,total_shots_away_team,total_shots_home_team,venue,yellow_cards_away_team,yellow_cards_home_team
0,0,51682,1,Tom Cleverley (90+3),Roberto Martinez,Everton,3,8,16,28,7,3,25,16,Saturday 26 December 2015,12,16,14,15,0,0,0,,Steve McClaren,Newcastle,3,0,0,0,0,0,Lee Mason,0-1,1,6,2015-2016,5,6,7,1,11,15,12,7,St. James' Park,2,2
1,0,38193,1,Aaron Cresswell (45+2),Slaven Bilic,West Ham,2,2,48,29,6,9,10,35,Saturday 26 December 2015,13,14,16,13,1,2,1,Jordan Ayew (62 Pen),Rémi Garde,Aston Villa,1,3,0,1,0,0,Mike Dean,1-1,6,3,2015-2016,4,5,4,8,23,28,8,13,Villa Park,3,3
0,0,11218,0,,Alan Pardew,Crystal Palace,2,3,28,37,9,8,18,12,Saturday 26 December 2015,13,10,12,13,0,0,0,,Eddie Howe,Bournemouth,1,2,0,0,0,0,Michael Oliver,0-0,4,0,2015-2016,4,4,1,4,22,24,5,8,Vitality Stadium,0,1
0,2,41630,2,"Troy Deeney (42 Pen),Gary Cahill (56 OG)",Enrique Sánchez Flores,Watford,6,5,22,12,4,9,10,19,Saturday 26 December 2015,15,7,7,13,2,1,2,"Diego Costa (32, 65)",Guus Hiddink,Chelsea,1,2,1,1,0,0,Andre Marriner,2-2,0,1,2015-2016,5,8,2,3,16,26,7,11,Stamford Bridge,4,1
0,1,44123,0,,Claudio Ranieri,Leicester,9,1,47,50,6,7,11,21,Saturday 26 December 2015,8,11,14,9,1,0,1,Christian Benteke (63),Jürgen Klopp,Liverpool,1,5,0,0,0,0,Martin Atkinson,1-0,3,3,2015-2016,3,12,3,5,34,35,6,17,Anfield,1,2
0,3,54523,1,Fabio Borini (59),Sam Allardyce,Sunderland,3,0,24,20,1,5,13,12,Saturday 26 December 2015,11,10,13,11,0,0,4,"Raheem Sterling (12),Yaya Touré (17),Wilfried Bony (22),Kevin De Bruyne (54)",Manuel Pellegrini,Man City,1,3,0,1,0,0,Anthony Taylor,4-1,5,2,2015-2016,8,6,3,9,9,22,11,15,Etihad Stadium,1,1
0,0,20789,0,,Tony Pulis,West Brom,2,3,10,28,7,0,26,5,Saturday 26 December 2015,13,10,10,15,0,0,1,Ki Sung-yueng (9),Alan Curtis,Swansea,2,1,0,0,0,0,Roger East,1-0,1,3,2015-2016,3,3,3,2,36,19,6,5,Liberty Stadium,3,1
0,2,35198,0,,Alex Neil,Norwich,2,1,31,19,4,9,13,10,Saturday 26 December 2015,13,4,7,20,0,0,3,"Harry Kane (26 Pen, 42),Tom Carroll (80)",Mauricio Pochettino,Spurs,8,3,0,1,0,0,Mike Jones,3-0,7,3,2015-2016,7,3,3,10,36,25,10,13,White Hart Lane,2,1
0,1,27426,0,,Louis van Gaal,Man Utd,1,2,10,27,12,1,18,6,Saturday 26 December 2015,16,13,15,13,4,2,2,"Bojan (19),Marko Arnautovic (26)",Mark Hughes,Stoke,1,3,0,0,0,0,Kevin Friend,2-0,1,6,2015-2016,3,8,6,3,27,21,9,11,Britannia Stadium,2,1
1,2,60053,1,Yaya Touré (82),Manuel Pellegrini,Man City,0,6,27,29,8,4,23,13,Monday 21 December 2015,16,5,7,17,1,0,2,"Theo Walcott (33),Olivier Giroud (45+1)",Arsène Wenger,Arsenal,1,3,0,0,0,0,Andre Marriner,2-1,3,5,2015-2016,8,3,6,5,18,18,14,8,Emirates Stadium,2,0
0,0,20661,0,,Slaven Bilic,West Ham,11,3,41,21,9,8,12,19,Sunday 20 December 2015,9,6,10,11,0,0,0,,Alan Curtis,Swansea,2,4,0,0,0,0,Lee Mason,0-0,2,3,2015-2016,6,9,2,2,16,36,8,11,Liberty Stadium,1,0
0,1,20707,0,,Jürgen Klopp,Liverpool,1,4,30,23,9,7,16,10,Sunday 20 December 2015,9,6,7,19,0,0,3,"Nathan Aké (3),Odion Ighalo (15, 85)",Enrique Sánchez Flores,Watford,10,1,0,0,0,0,Mark Clattenburg,3-0,2,4,2015-2016,4,0,4,5,27,30,8,5,Vicarage Road,0,1
1,1,48234,1,Jordan Ayew (61),Rémi Garde,Aston Villa,0,0,17,32,7,3,26,22,Saturday 19 December 2015,14,9,8,14,0,0,1,Fabricio Coloccini (38),Steve McClaren,Newcastle,0,0,0,0,0,0,Martin Atkinson,1-1,3,6,2015-2016,3,4,7,4,28,29,10,8,St. James' Park,3,1
0,1,41562,1,Fabio Borini (52),Sam Allardyce,Sunderland,4,2,32,20,2,2,4,15,Saturday 19 December 2015,12,12,11,12,0,0,3,"Branislav Ivanovic (5),Pedro (13),Oscar (50 Pen)",Eddie Newton,Chelsea,3,0,0,1,0,0,Roger East,3-1,4,2,2015-2016,6,6,3,7,22,26,9,13,Stamford Bridge,3,1
1,1,39570,3,"Riyad Mahrez (27 Pen, 65 Pen),Shinji Okazaki (69)",Claudio Ranieri,Leicester,3,0,33,21,2,10,5,24,Saturday 19 December 2015,14,6,6,15,1,0,2,"Romelu Lukaku (32),Kevin Mirallas (89)",Roberto Martinez,Everton,2,2,2,0,0,0,Jonathan Moss,2-3,2,2,2015-2016,5,5,5,5,24,27,10,10,Goodison Park,1,2
2,1,75320,2,"Cameron Jerome (38),Alexander Tettey (54)",Alex Neil,Norwich,3,0,68,6,0,11,8,42,Saturday 19 December 2015,10,4,6,10,0,0,1,Anthony Martial (66),Louis van Gaal,Man Utd,1,2,0,0,0,0,Michael Oliver,1-2,1,2,2015-2016,2,6,4,2,19,33,6,8,Old Trafford,2,0
2,0,31636,2,"Harry Kane (40),Dele Alli (43)",Mauricio Pochettino,Spurs,5,3,23,14,7,4,11,23,Saturday 19 December 2015,9,18,21,11,0,1,0,,Ronald Koeman,Southampton,2,5,0,0,0,0,Kevin Friend,0-2,4,3,2015-2016,4,2,5,4,30,29,9,6,St. Mary's Stadium,1,1
0,0,27500,2,"Connor Wickham (45+1 Pen),Lee Chung-yong (88)",Alan Pardew,Crystal Palace,11,2,26,17,3,7,11,26,Saturday 19 December 2015,12,6,5,10,1,0,1,Bojan (76 Pen),Mark Hughes,Stoke,1,0,1,1,0,0,Robert Madley,1-2,4,1,2015-2016,7,10,3,5,26,27,10,15,Britannia Stadium,0,2
1,1,26127,2,"Adam Smith (52),Charlie Daniels (87 Pen)",Eddie Howe,Bournemouth,3,4,33,18,8,4,13,16,Saturday 19 December 2015,9,12,11,12,0,0,1,Gareth McAuley (79),Tony Pulis,West Brom,3,0,1,0,0,2,Mike Dean,1-2,1,4,2015-2016,5,2,6,2,25,25,11,4,The Hawthorns,1,2
1,2,32054,1,Loïc Remy (77),José Mourinho,Chelsea,1,4,32,33,8,1,24,15,Monday 14 December 2015,8,16,15,10,0,2,2,"Jamie Vardy (34),Riyad Mahrez (48)",Claudio Ranieri,Leicester,2,0,0,0,0,0,Mark Clattenburg,2-1,3,2,2015-2016,3,3,4,5,41,26,7,8,King Power Stadium,0,2
2,2,44147,2,"Craig Dawson (30),Jonas Olsson (73)",Tony Pulis,West Brom,9,0,41,8,4,4,9,28,Sunday 13 December 2015,10,7,7,11,1,0,2,"Jordan Henderson (21),Divock Origi (90+6)",Jürgen Klopp,Liverpool,1,1,0,0,0,0,Craig Pawson,2-2,6,0,2015-2016,2,11,2,8,16,21,4,19,Anfield,0,0
1,1,35768,2,"Aleksandar Mitrovic (74),Ayoze Pérez (90+3)",Steve McClaren,Newcastle,5,1,25,28,2,6,16,9,Sunday 13 December 2015,14,13,15,16,1,2,1,Eric Dier (39),Mauricio Pochettino,Spurs,4,2,0,0,0,0,Roger East,1-2,7,2,2015-2016,2,7,4,8,30,40,6,15,White Hart Lane,2,2
1,0,33285,2,"Olivier Giroud (8 Pen),Aaron Ramsey (38)",Arsène Wenger,Arsenal,4,1,20,17,5,5,9,19,Sunday 13 December 2015,7,8,9,11,0,0,0,,Rémi Garde,Aston Villa,5,2,1,0,0,0,Kevin Friend,0-2,2,2,2015-2016,3,12,4,2,18,15,7,14,Villa Park,0,0
0,1,11334,1,Marouane Fellaini (24),Louis van Gaal,Man Utd,0,3,17,39,7,4,19,14,Saturday 12 December 2015,12,12,13,13,0,1,2,"Junior Stanislas (2),Joshua King (54)",Eddie Howe,Bournemouth,2,1,0,0,0,0,Anthony Taylor,2-1,3,4,2015-2016,3,6,5,5,28,17,8,11,Vitality Stadium,1,2
0,1,24914,0,,Ronald Koeman,Southampton,4,4,47,40,5,8,16,18,Saturday 12 December 2015,13,11,14,11,1,0,1,Yohan Cabaye (38),Alan Pardew,Crystal Palace,0,3,0,0,0,0,Mike Dean,1-0,4,3,2015-2016,8,3,3,5,24,29,11,8,Selhurst Park,0,0
1,2,53052,1,Bafétimbi Gomis (90),Alan Curtis,Swansea,3,3,16,24,5,5,9,9,Saturday 12 December 2015,15,13,15,19,2,0,2,"Wilfried Bony (26),Kelechi Iheanacho (90+2)",Manuel Pellegrini,Man City,6,3,0,0,0,0,Robert Madley,2-1,3,6,2015-2016,3,4,7,5,22,15,10,9,Etihad Stadium,1,3
1,0,43989,1,Odion Ighalo (4),Enrique Sánchez Flores,Watford,1,3,28,28,3,8,9,29,Saturday 12 December 2015,9,6,9,11,0,0,0,,Sam Allardyce,Sunderland,2,3,0,0,0,0,Graham Scott,0-1,3,6,2015-2016,2,11,8,2,20,21,10,13,Stadium of Light,0,1
0,0,34857,0,,Mark Hughes,Stoke,8,5,23,35,7,11,14,23,Saturday 12 December 2015,9,7,7,7,0,0,0,,Slaven Bilic,West Ham,0,1,0,0,0,0,Andre Marriner,0-0,9,3,2015-2016,4,6,3,10,22,24,7,16,Boleyn Ground,2,1
1,0,27027,1,Romelu Lukaku (15),Roberto Martinez,Everton,2,2,23,35,4,5,13,14,Saturday 12 December 2015,6,9,10,7,0,0,1,Wes Hoolahan (47),Alex Neil,Norwich,1,1,0,0,0,0,Martin Atkinson,1-1,0,2,2015-2016,10,5,3,2,26,17,13,7,Carrow Road,0,1
1,1,35736,1,Scott Dann (76),Alan Pardew,Crystal Palace,7,1,40,24,6,13,16,28,Monday 7 December 2015,11,4,4,14,0,0,1,Romelu Lukaku (81),Roberto Martinez,Everton,3,0,0,0,0,0,Craig Pawson,1-1,3,4,2015-2016,8,8,5,4,18,18,13,12,Goodison Park,2,1
0,1,51273,0,,Jürgen Klopp,Liverpool,1,2,11,22,7,2,20,5,Sunday 6 December 2015,10,6,7,11,0,0,2,"Martin Skrtel (69 OG),Georginio Wijnaldum (90+3)",Steve McClaren,Newcastle,2,1,0,0,0,0,Andre Marriner,2-0,0,1,2015-2016,7,4,2,1,33,22,9,5,St. James' Park,1,3
0,0,41631,1,Glenn Murray (82),Eddie Howe,Bournemouth,4,6,36,20,4,11,8,33,Saturday 5 December 2015,13,10,12,13,0,0,0,,José Mourinho,Chelsea,1,2,0,0,0,0,Mike Jones,0-1,7,4,2015-2016,4,9,5,6,22,24,9,15,Stamford Bridge,1,2
0,2,59937,1,Olivier Giroud (45 OG),Sam Allardyce,Sunderland,5,1,34,20,2,3,16,12,Saturday 5 December 2015,11,7,8,12,0,1,3,"Joel Campbell (33),Olivier Giroud (63),Aaron Ramsey (90+3)",Arsène Wenger,Arsenal,1,1,0,0,0,0,Robert Madley,3-1,3,5,2015-2016,6,4,4,8,17,12,10,12,Emirates Stadium,1,1
0,0,75350,0,,Slaven Bilic,West Ham,9,2,34,11,2,6,11,29,Saturday 5 December 2015,13,10,12,14,0,0,0,,Louis van Gaal,Man Utd,1,2,0,0,0,0,Mark Clattenburg,0-0,1,2,2015-2016,5,11,2,1,18,30,7,12,Old Trafford,0,1
1,1,29645,1,Joleon Lescott (44),Rémi Garde,Aston Villa,6,3,34,9,4,10,6,35,Saturday 5 December 2015,9,4,7,8,1,0,1,Oriol Romeu (73),Ronald Koeman,Southampton,0,3,0,0,0,0,Anthony Taylor,1-1,3,1,2015-2016,4,12,2,5,23,26,6,17,St. Mary's Stadium,2,1
3,0,20836,3,"Riyad Mahrez (5, 22, 67)",Claudio Ranieri,Leicester,0,6,22,31,8,3,8,24,Saturday 5 December 2015,19,3,5,21,0,0,0,,Garry Monk,Swansea,2,2,0,0,0,0,Michael Oliver,0-3,2,2,2015-2016,5,8,5,2,23,23,10,10,Liberty Stadium,3,2
0,1,20422,0,,Alex Neil,Norwich,2,2,44,37,1,4,18,9,Saturday 5 December 2015,10,11,15,14,1,1,2,"Troy Deeney (30 Pen),Odion Ighalo (90+1)",Enrique Sánchez Flores,Watford,5,4,0,1,0,0,Mike Dean,2-0,5,1,2015-2016,4,4,1,7,31,38,5,11,Vicarage Road,3,3
1,1,23602,1,Dele Alli (15),Mauricio Pochettino,Spurs,4,4,23,15,6,3,11,22,Saturday 5 December 2015,10,13,15,8,0,0,1,James McClean (39),Tony Pulis,West Brom,1,2,0,0,0,0,Jonathan Moss,1-1,3,2,2015-2016,2,3,3,4,20,24,5,7,The Hawthorns,2,3
0,2,27264,0,,Manuel Pellegrini,Man City,0,1,7,18,6,1,15,8,Saturday 5 December 2015,10,9,12,10,1,0,2,"Marko Arnautovic (7, 15)",Mark Hughes,Stoke,0,3,0,0,0,0,Martin Atkinson,2-0,2,4,2015-2016,6,3,4,4,41,23,10,7,Britannia Stadium,1,0
0,0,43905,0,,Garry Monk,Swansea,5,4,24,27,7,8,21,15,Sunday 29 November 2015,6,12,12,5,1,0,1,James Milner (62 Pen),Jürgen Klopp,Liverpool,1,0,0,1,0,0,Anthony Taylor,1-0,1,0,2015-2016,5,3,0,2,23,33,5,5,Anfield,1,3
1,1,27091,1,Mesut Özil (30),Arsène Wenger,Arsenal,1,4,24,36,6,3,23,17,Sunday 29 November 2015,6,8,10,8,0,0,1,Lewis Grabban (43),Alex Neil,Norwich,2,3,0,0,0,0,Jonathan Moss,1-1,2,1,2015-2016,5,4,3,2,23,19,8,6,Carrow Road,1,1
0,0,34914,1,Winston Reid (50 OG),Tony Pulis,West Brom,3,0,25,24,2,5,19,15,Sunday 29 November 2015,16,15,14,15,0,0,1,Mauro Zárate (17),Slaven Bilic,West Ham,2,0,0,0,0,0,Martin Atkinson,1-1,5,3,2015-2016,4,8,3,7,27,22,7,15,Boleyn Ground,2,0
0,0,35639,0,,José Mourinho,Chelsea,3,1,21,41,4,4,11,13,Sunday 29 November 2015,9,14,14,13,0,0,0,,Mauricio Pochettino,Spurs,4,2,0,0,0,0,Michael Oliver,0-0,4,1,2015-2016,3,2,1,4,30,38,4,6,White Hart Lane,2,4
1,1,32115,1,Bastian Schweinsteiger (45+1),Louis van Gaal,Man Utd,2,4,23,26,8,1,22,12,Saturday 28 November 2015,7,5,8,8,0,0,1,Jamie Vardy (24),Claudio Ranieri,Leicester,1,3,0,0,0,0,Craig Pawson,1-1,2,1,2015-2016,4,2,2,3,31,31,6,5,King Power Stadium,1,0
